,codigo,bairro,valor,condominio+iptu,area,banheiros,suites,garagem,portao eletronico,DCE,salas,total de uni.,varanda,piscinas,posicao,descricao da vaga,unidade por andar,sol da manha,playground,circuito de tv,quadra de esporte,jardins,elevador,academia,hall social,sauna,salao de festas,quartos,portaria permanente
42,647824,santa lúcia,220000.0,647.69,100.0,2.0,1.0,0.0,1,0,1,16,1,0, Lateral, ,4,0,0,0,0,0,0,0,0,0,0,3,1
933,167283,mata da praia,1100000.0,815.6,115.0,1.0,1.0,3.0,1,1,1,48,1,1, Frente, soltas/ cobertas ,4,1,1,1,1,1,1,1,1,1,1,3,1
416,353811,santa terezinha,420000.0,314.28,80.0,2.0,1.0,1.0,1,0,1,36,1,0, Frente, coberta e livre ,4,1,0,1,0,1,1,0,1,0,1,3,0
1288,657486,praia da costa,230000.0,750.0,62.32,1.0,0.0,1.0,1,0,1,192,0,1, Lateral, privativa coberta ,16,1,0,1,0,1,1,1,1,1,1,1,1
1218,509858,jardim atlântico,238000.0,0.0,95.0,1.0,1.0,1.0,1,0,1,16,1,0, Frente, privativa ,4,0,0,0,0,0,0,0,0,0,0,3,0
1314,584692,alvorada,290000.0,0.0,69.0,1.0,1.0,2.0,1,0,1,72,1,1, Frente, privativa e coberta ,6,1,1,1,1,1,1,0,0,1,1,2,0
545,666414,jardim da penha,490000.0,644.48,51.21,2.0,1.0,1.0,1,0,1,50,1,1, Lateral, solta e coberta ,10,0,0,1,0,1,1,0,1,0,1,2,1
1299,651134,praia das gaivotas,259000.0,741.0,86.93,1.0,1.0,1.0,1,0,1,60,1,0, Fundo, privativa e coberta ,6,1,0,1,0,1,1,0,1,0,1,3,1
1521,544721,praia de itaparica,1800000.0,950.0,240.0,1.0,2.0,3.0,0,1,2,102,1,1, Frente, privativa e coberta ,6,1,1,1,1,1,1,0,1,1,1,4,1
481,379063,santa helena,450000.0,1055.0,116.0,3.0,1.0,2.0,1,1,1,11,2,1, Frente, solidárias cobertas ,1,1,0,1,0,1,1,0,1,0,1,3,0
542,493453,praia de santa helena,490000.0,506.42,65.32,1.0,1.0,1.0,1,0,1,55,1,1, Lateral," privativa, livre e coberta ",5,1,0,1,0,0,1,0,1,1,1,2,1
1512,606628,praia da costa,1200000.0,1434.64,110.0,3.0,1.0,2.0,1,0,1,80,1,1, Lateral," cobertas,solidárias, vagas no subsolo número 3 e 3a ",5,1,0,1,0,1,1,0,1,1,1,3,1
934,584958,praia do canto,1100000.0,1300.3,170.0,4.0,1.0,2.0,0,1,1,20,2,1, Frente, privativa e coberta ,2,1,0,1,0,1,1,0,1,1,1,4,1
484,644336,barro vermelho,450000.0,0.0,80.0,1.0,1.0,1.0,1,0,1,0,1,0, Outros, livre e coberta ,0,0,1,1,1,0,1,0,1,0,1,3,1
499,424699,praia do canto,460000.0,410.0,130.0,1.0,1.0,1.0,1,1,1,24,0,0, Frente, privativa e coberta ,8,0,0,1,0,1,0,0,1,0,0,3,0
142,391446,jardim camburi,280000.0,264.15,76.0,2.0,0.0,1.0,1,1,1,24,0,0, Frente, live e coberta no térreo ,4,0,0,0,0,0,0,0,1,0,0,2,0
1193,515144,colina de laranjeiras,200000.0,234.0,49.19,1.0,0.0,1.0,1,0,1,48,1,1, Fundo, privativa ,6,1,1,1,1,1,1,1,0,0,1,2,1
300,595041,centro,360000.0,540.9,150.0,1.0,1.0,1.0,1,0,1,20,0,0, Fundo, coberta e presa. a vaga não é fixa. ,2,0,0,0,0,0,1,0,0,0,0,3,1
963,636112,jardim camburi,1280000.0,600.0,133.22,5.0,3.0,2.0,1,0,1,56,1,1, Frente, solidária ,4,1,1,0,0,1,1,0,1,1,1,4,1
1067,661575,praia do canto,3500000.0,3000.0,333.0,3.0,2.0,3.0,1,1,1,12,1,1, Frente, ,1,1,0,1,0,0,1,1,1,0,1,4,1
501,548466,ilha de monte belo,460666.98,0.0,150.17,2.0,1.0,1.0,1,0,1,104,1,1, Fundo, privativa e coberta ,8,1,1,1,0,1,1,1,1,0,1,2,1
643,437020,jardim camburi,580000.0,491.48,98.0,3.0,1.0,2.0,1,1,1,27,1,1, Lateral, solidarias ,3,0,0,1,0,1,1,0,1,1,1,3,0
587,666218,santa terezinha,530000.0,332.0,84.0,3.0,1.0,1.0,1,0,1,36,1,1, Frente, coberta ,9,0,0,0,0,1,1,0,1,0,1,3,1
269,648265,mata da praia,349539.0,0.0,40.0,1.0,,1.0,0,0,1,0,0,1, Frente, ,0,0,0,0,0,0,1,0,1,1,0,1,0
443,171540,jardim da penha,430000.0,401.0,64.0,1.0,1.0,1.0,1,0,1,20,1,0, Frente, privativa ,4,1,0,0,0,1,1,0,0,0,0,2,0
1023,638575,praia do canto,1815000.0,974.3,178.0,1.0,4.0,3.0,1,0,1,64,1,1, Frente," livres, solidárias, cobertas ",4,1,1,1,0,1,1,1,1,1,1,4,1
1369,546347,praia da costa,380000.0,430.0,120.0,1.0,1.0,1.0,0,1,1,0,1,0, Frente, ,0,1,0,1,0,1,1,0,1,0,0,3,1
340,619914,jardim da penha,380000.0,310.59,67.0,1.0,,1.0,1,0,1,12,0,1, Frente, livre e coberta. ,4,1,1,0,0,1,0,0,1,1,0,2,0
165,633941,jardim camburi,290000.0,317.17,78.0,1.0,0.0,1.0,1,0,1,12,0,0, Fundo, privativa / livre ,4,1,0,0,0,0,0,0,1,0,0,3,0
